Movie ID,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,Unknown,War,Western,(no genres listed),User ID,Age,Gender,Occupation,Zipcode,Rating
b'3107',1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'130',35,1,18,b'50021',5
b'2114',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3829',25,0,0,b'50021',4
b'256',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1265',18,0,21,b'50021',1
b'1389',1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'2896',18,1,14,b'60073',5
b'3635',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5264',18,1,17,b'60073',4
b'2042',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4957',25,1,1,b'60073',2
b'2289',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5294',25,1,1,b'60073',4
b'3334',0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,b'2064',35,1,0,b'01020',5
b'2901',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,b'4121',45,1,6,b'01020',3
b'1206',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'3010',25,1,12,b'01020',4
b'3107',1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'130',35,1,18,b'50021',5
b'2114',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'3829',25,0,0,b'50021',4
b'256',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'1265',18,0,21,b'50021',1
b'1389',1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,b'2896',18,1,14,b'60073',5
b'3635',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5264',18,1,17,b'60073',4
b'2042',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b'4957',25,1,1,b'60073',2
b'2289',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,b'5294',25,1,1,b'60073',4
b'3334',0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,b'2064',35,1,0,b'01020',5
b'2901',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,b'4121',45,1,6,b'01020',3
b'1206',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,b'3010',25,1,12,b'01020',4
